;HR;HV;Prof;LA;LDMC;LT;SLA;N;SM;Type;Groupe;Reserve;Cupl ;Copl;Capl;Mgpl;Mnpl;Ppl
Acalcupr;25;29.91;40;416.21;0.3;0.32;10.54;1.746666667;0.001716667;P ;Xyl;X ;18.01;168.14;16966.33;5293.73;125.83;1197.74
Aescpygm;31;37.47;100;144.07;0.3;0.19;18.95;2.666142857;0.00767;P;Xyl;X;9.07;1.26;9985.56;3555.09;227.1;1393.04
Andrschi;85;46.77;10;919.67;0.27;0.26;14.45;1.3027;0.001637;P;Gram;T;4.67;12.16;3993.48;4197.86;60.85;1080.34
Aneiwelw;17.44;20.12;12.5;1712.23;0.17;0.39;15.44;1.97416;0.0017;P;Bulb;RT;23.84;24.05;15397.53;8134.66;461.66;1533.18
Anisdavy;28;11.73;12.5;282.09;0.17;0.25;23.37;;0.000409361;P;Bulb;R;84.04;664.34;42382.09;11584.89;75.58;2391.94
Ascometa;18;14.83;5;103.21;0.45;0.14;16.1;;0.0000482;P;Gram;T;141.1;336;5870.21;3266.68;47.76;1389.19
Bewsbifl;52.76;27.36;20;1461.53;0.43;0.11;20.48;0.8882;0.00012;P;Gram;R;2.19;1.31;2163.93;1510.21;110.96;1506.49
Bracserr;55;21.19;7.5;414.33;0.42;0.14;17.4;;0.001856;P;Gram;R;5.64;7.31;3440.04;4614.43;43.25;1189.8
Buchrand;26.64;24.28;7.5;474.83;0.25;0.25;17.34;1.15475;0.00007;A;Ann;G ;25.69;20.33;11332.35;11239.24;211.99;1766.12
Bulbcupr;10;8.67;5;26.61;0.21;0.12;39.31;2.410083333;0.0001;A;Ann;G;1400.757853;72.86919926;4413.417682;3886.10265;199.6919525;3110.809518
Bulbfila;30;20.42;5;71.54;0.62;0.09;17.94;1.9483;0.00011;P;Gram;T;31.88;26.55;4907.95;1632.43;41.86;1377.35
Bulbmacr;13;14.64;7.5;58.45;0.55;0.05;40.31;;0.00008;P;Gram;T;11.21;14.77;3240.2;2287.66;39.84;1393.63
Bulbpseu;4.28;4.82;5;265.75;0.39;0.08;35.68;2.19632;0.000051;A;Ann;G;1068.4;55.36;16006.65;8715.36;742.33;5359.6
Champrat;22;24.11;12.5;549.18;0.31;0.09;35.95;2.51275;0.0022;A;Ann;G;8.23;0;10950.73;3834.35;122.43;1603.61
ChloCf;30;23.83;10;228.56;0.38;0.16;16.72;1.5984;0.0002;P;Gram;T;6.55;4.91;2123.26;1286.04;19.24;1346.99
Chlosubp;8;4.28;7.5;710.43;0.13;0.72;10.59;1.9793;0.0008;P;Bulb;RT;32.94;227.77;11096.01;5918.51;56.54;2553.49
CommCf;14.76;13.48;20;923.81;0.17;0.33;18.34;2.0414;0.002537647;P;Bulb;RT;37.8;32.9;11666.13;4118.52;414.16;1900.62
Crotarge;29;22.29;10;42.32;0.29;0.21;16.56;;0.000821429;A;Ann;G;11.43;13.34;7610.07;15200.45;107.23;1094.42
Crotglau;45;43.42;5;1198.61;0.16;0.18;34.15;2.868466667;0.00321;A;Ann;G;14.56;0.26;7469.87;3819.49;164.91;1451.53
Crypmara;15;11.96;90;1264.15;0.5;0.35;5.6;1.647866667;0.1079;P;Xyl;X;10.99;3.08;12430.72;4659.66;372.28;1141.24
Cyanlong;26;12.2;20;651.42;0.11;0.48;18.77;1.41;0.00087;P;Bulb;RT;42.23;295.9;28093.33;9508.13;119.76;1810.27
Cyannana;4.06;3.84;8;475.05;0.1;0.71;14.97;1.60685;0.00087;P;Bulb;RT;128.82;56.4;20655.58;3975.28;231.47;1619.59
CypeCf;34.43;19.1;15;379.64;0.33;0.25;13.09;0.683466667;0.0000769;P;Gram;T;5.63;29.61;2638.83;1717.39;83.91;808.22
Cypesp4;59.96;30.76;10;1183.81;0.33;0.39;8.07;0.705083333;0.00152875;P;Gram;R;4.39;12.22;2400.04;3330.37;253.49;1035.94
Dihegran;150;63;35;1819.79;;;10.68;0.87016;0.00397;P;Gram;T;;;;;;
Diplmart;74;18.67;20;4675.96;0.18;0.56;9.7;1.24;0.00387;P;Xyl;TU ;6.61;251.48;20694.55;8640.44;72.66;1782.26
Dolitrin;48.87;62.92;40;6652.2;0.27;0.32;11.97;2.02545;0.015857143;P;Xyl;X;8.85;0.31;11576.63;6012.58;146.52;2019.47
Endodiss;33;25.54;20;663.68;0.13;0.63;12.4;1.02;0.0004;P;Xyl;X;8.64;63.41;15175.47;10688.86;96.66;1504.21
Eragrace;36.33;20.73;7.5;354.66;0.41;0.19;13.47;1.123538333;0.00007;P;Gram;T;21.56;12.64;3429.13;1078.39;152.36;1194.24
ErioCf;19.52;20.24;15;3556.71;0.31;0.17;19.44;2.2078;0.004739073;P;Bulb;TU;12.05;0.41;11341.53;3690.01;128.57;1422.38
Erioengl;34;36.55;100;15537.88;0.31;0.25;12.81;2.14;0.032102;P;Xyl;X;8.38;3.29;5781.92;2957.08;130.58;1312.3
Erioflag;18.69;16.96;20;4026.34;0.26;0.44;9.14;1.126433333;0.01661;P;Bulb;B ;4.6;21.28;4401.81;1958.05;412.79;866.3
Erioshir;20.36;27.23;12;2792.06;0.38;0.27;10.08;1.991114286;0.0106;P;Bulb;TU;9.58;2.93;7239.23;2865.43;155.91;1201.17
Euphzamb;25;18.23;60;84.59;0.44;0.18;13.05;1.008824;;P;Xyl;X;5.89;22.97;16463.26;2308.51;57.53;779.87
Gladgreg;34.38;27.12;7.5;2528.32;0.33;0.27;11.77;1.167233333;0.001487;P;Bulb;C;3.64;64.01;9596.48;2440.73;195.82;1043.7
Gladledo;68;63.25;5;405.42;0.39;0.64;3.99;0.9119;0.000906;P;Bulb;C;5.73;54.62;3469.31;1075.18;23.15;1330.06
Haumprae;31;12.1;12.5;2840.79;0.09;0.81;14.15;1.948;0.000789041;P;Xyl;X;20.14;118.56;13499.4;13166.44;82.16;959.77
Haumrobe;25;7.14;10;60.04;0.26;0.09;44.37;;0.000057;A;Ann;G;51.93;1692.66;14501.69;7999.28;76.82;4721.76
Haumrosu;26;1.24;7.5;1779.9;0.13;0.43;18.05;0.96745;0.0008;P;Xyl;X;48.01;83.5;17095.81;17867.84;92.22;1205.82
Helimech;16.67;25.24;17.5;15410;0.24;0.36;11.68;0.80278;0.0003125;P;Xyl;R;12.47;1.45;7694.73;5944.07;87.1;847.34
Hibirhod;9;20.57;45;2099.06;0.24;0.42;10.15;2.115733333;0.0115;P;Xyl;R;20.02;32.82;15114.61;9092.09;164.61;1570.49
Ipomrect;6;6.83;10;147.53;0.32;0.2;15.79;;0.01758;P;Bulb;TU;94.03;88.83;29056.43;8762.6;79.45;1694.37
Justeleg;11;14.58;17.5;257.43;0.3;0.18;19.19;;0.00085;P;Xyl;X;27.98;77.21;52108.01;14464.8;46.3;1752.89
Loudsimp;73;56.42;25;644.67;0.26;0.33;11.47;0.85;0.001;P;Gram;T;3.88;2.83;2153.56;1924.52;46.24;949.62
Micralte;76.76;37.16;25;1699.08;0.24;0.49;8.89;1.48865;0.000634483;P;Gram;T;28.68;206.33;5676.74;4493.36;208.92;1761.89
Monocere;49;26.29;7.5;483.34;0.48;0.11;19.17;;0.00099;P;Gram;T;6.52;19.6;2889.59;2176.99;47.16;1049.94
Moracars;32.1;48.88;25;1054.39;0.32;0.61;5.57;1.2391825;0.007185185;P;Bulb;B;8.31;9.68;7372.9;1610.8;29.19;2324.02
Ocimfimb;19.04;25.85;15;1062.55;0.24;0.44;9.5;0.959127143;0.00191;P;Xyl;X;6.64;74.07;8849.98;9063.88;253.47;1182.17
Oxalobli;3;0.38;1;77.72;0.11;0.24;39.31;;0.0002;P;Bulb;B;;;;;;
Pandcars;25;17.69;55;46.71;0.29;0.23;14.76;1.5722;0.00486;P;Bulb;RT;1918.6;526.38;20336.38;11748.75;188.14;1502.67
Panisp5;42.41;17.63;15;540.08;0.26;0.16;24.23;1.0074;0.00024;P;Gram;R;14.99;42.19;4126.87;2043.88;529.33;967.96
Pentschw;8.33;24.4;50;1881.48;0.18;0.34;16.49;1.5542;0.00546;P;Xyl;X;7.2;8.8;5309.42;8161.55;152.88;1180.48
Pimpacut;58;1.82;15;4103.38;0.12;0.4;21.12;1.86036;;P;Xyl;TU;13.18;6.32;17869.06;10660.31;119.9;2919.35
Pleipulc;32.31;17;150;2148.22;0.29;0.27;13.17;1.321733333;0.007575;P;Xyl;X;38.21;39.78;4470.82;6170.42;578.11;1425.69
Poacsp6;;39.25;25;1232.14;0.26;0.32;12.01;1.9277625;;P;Gram;R;7.79;9.39;1647.02;2644.06;112.15;827.35
Rhytrott;59;49.83;10;533.56;0.49;0.2;10.33;;0.002022222;P;Gram;T;3.13;1.45;982.61;1585.18;40.52;726.98
Sacctran;53.73;19.15;7.5;975.63;0.29;0.17;20.55;1.4375;0.004;P;Gram;R;13.94;12.65;2829.72;2979.15;246.03;968.42
Schibrev;15;6.14;5;23.61;0.22;0.08;57.53;0.961425;0.0002;A;Ann;G;;;;;;
Sclebulb;49.8;36.82;5;423.66;0.36;0.16;17.89;0.8954;0.000979592;P;Gram;C;3.9;2.59;5217.65;2376.43;96.52;1344.58
Sopumann;69.25;53.12;10;110.72;0.28;0.35;11.1;1.4379;0.000022;P;Xyl;X;24.94;1535.06;12064.16;6402.24;80.32;4890.22
Sporcong;48.04;26.52;7.5;267.65;0.39;0.17;14.81;1.053;0.00015;P;Gram;T;89.74;8.1;2166.82;898.54;32.65;1383.13
Thesatru;11.83;23.35;50;;;;;1.3458;;P;Xyl;X;173.01;56.12;7034.11;4338.95;95.86;3185.09
Tinncoer;113.5;80.46;120;423.01;0.26;0.32;12.18;2.238;0.003857143;P;Xyl;X;11.96;2.61;4738.3;8239.95;282.6;1178.3
Tracspic;89;62.47;15;966.98;0.32;0.27;11.9;1.078443333;0.0026;P;Gram;T;3.71;2.98;1388.8;1880.02;54.29;860.09
Trisbequ;60;44.14;7.5;794.54;0.38;0.15;18.16;1.018;0.004;P;Gram;T;5.23;4.44;6881.1;8754.46;43.05;991.42
Trisex;116.52;68.12;25;1925.71;0.28;0.26;14.42;1.0816;0.006;P;Gram;R;8.82;18.99;6515.51;9336.18;183.03;831.97
Trissupe;113;63.44;35;2112.55;0.31;0.29;11.22;1.2102;0.005684;P;Gram;R;3.07;1.57;2803.8;2696.27;35.61;1218.47
Triuwelw;48.18;62.29;120;855.85;0.39;0.28;9.78;1.56262;0.043158333;P;Xyl;X;25.91;53.06;8427.6;8811.94;300.6;1261.11
Vernsp3;47.92;32.4;20;1948.71;0.14;0.48;15.83;1.602733333;0.00277;P;Bulb;RT;57.14;4.86;24852.3;40606.01;767.22;927.44
Vernsp6;19;5.63;15;4257.29;0.17;0.4;15.22;1.749175;0.000814;P;Bulb;RT;48.12;22.34;7464.2;7269.18;1126.45;1378.08
Vernsupr;12;26.85;60;751.07;0.31;0.37;8.81;;0.000807104;P;Xyl;X;57.83;22.95;5438.17;5295.89;319.03;1043.83
Xeroequi;30;29.5;15;2238.72;0.28;0.43;8.34;1.33;0.000023;P;Cham;TI;6.87;324.02;10242.25;3529.91;16.99;1462.48
